Link2Space track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 55.397	55.397	130
Satellite: METEOR-M2 2
Start date & time: 2022-03-07   11:11:59 UTC
Orbit: 13889
Time(UTC)		Azimuth(d)	Elevation(d) X(m)		Y(m)

11:11:59   206:16   014:59
11:12:00   206:24   015:05
11:12:01   206:33   015:11
11:12:02   206:41   015:17
11:12:03   206:50   015:23
11:12:04   206:59   015:28
11:12:05   207:07   015:34
11:12:06   207:16   015:40
11:12:07   207:25   015:46
11:12:08   207:34   015:52
11:12:09   207:43   015:58
11:12:10   207:52   016:04
11:12:11   208:01   016:09
11:12:12   208:10   016:15
11:12:13   208:19   016:21
11:12:14   208:28   016:27
11:12:15   208:37   016:33
11:12:16   208:47   016:39
11:12:17   208:56   016:45
11:12:18   209:06   016:51
11:12:19   209:15   016:57
11:12:20   209:25   017:03
11:12:21   209:35   017:09
11:12:22   209:44   017:16
11:12:23   209:54   017:22
11:12:24   210:04   017:28
11:12:25   210:14   017:34
11:12:26   210:24   017:40
11:12:27   210:34   017:46
11:12:28   210:44   017:52
11:12:29   210:55   017:59
11:12:30   211:05   018:05
11:12:31   211:15   018:11
11:12:32   211:26   018:17
11:12:33   211:36   018:24
11:12:34   211:47   018:30
11:12:35   211:58   018:36
11:12:36   212:08   018:42
11:12:37   212:19   018:49
11:12:38   212:30   018:55
11:12:39   212:41   019:01
11:12:40   212:52   019:08
11:12:41   213:03   019:14
11:12:42   213:15   019:21
11:12:43   213:26   019:27
11:12:44   213:37   019:33
11:12:45   213:49   019:40
11:12:46   214:01   019:46
11:12:47   214:12   019:53
11:12:48   214:24   019:59
11:12:49   214:36   020:06
11:12:50   214:48   020:12
11:12:51   215:00   020:19
11:12:52   215:12   020:25
11:12:53   215:24   020:32
11:12:54   215:36   020:38
11:12:55   215:49   020:45
11:12:56   216:01   020:51
11:12:57   216:14   020:58
11:12:58   216:26   021:04
11:12:59   216:39   021:11
11:13:00   216:52   021:18
11:13:01   217:05   021:24
11:13:02   217:18   021:31
11:13:03   217:31   021:37
11:13:04   217:44   021:44
11:13:05   217:58   021:51
11:13:06   218:11   021:57
11:13:07   218:24   022:04
11:13:08   218:38   022:10
11:13:09   218:52   022:17
11:13:10   219:06   022:24
11:13:11   219:19   022:30
11:13:12   219:33   022:37
11:13:13   219:48   022:44
11:13:14   220:02   022:50
11:13:15   220:16   022:57
11:13:16   220:31   023:04
11:13:17   220:45   023:10
11:13:18   221:00   023:17
11:13:19   221:15   023:24
11:13:20   221:29   023:31
11:13:21   221:44   023:37
11:13:22   221:59   023:44
11:13:23   222:15   023:51
11:13:24   222:30   023:57
11:13:25   222:45   024:04
11:13:26   223:01   024:11
11:13:27   223:17   024:17
11:13:28   223:32   024:24
11:13:29   223:48   024:31
11:13:30   224:04   024:37
11:13:31   224:20   024:44
11:13:32   224:37   024:50
11:13:33   224:53   024:57
11:13:34   225:09   025:04
11:13:35   225:26   025:10
11:13:36   225:43   025:17
11:13:37   225:59   025:24
11:13:38   226:16   025:30
11:13:39   226:33   025:37
11:13:40   226:51   025:43
11:13:41   227:08   025:50
11:13:42   227:25   025:56
11:13:43   227:43   026:03
11:13:44   228:00   026:09
11:13:45   228:18   026:16
11:13:46   228:36   026:22
11:13:47   228:54   026:29
11:13:48   229:12   026:35
11:13:49   229:31   026:41
11:13:50   229:49   026:48
11:13:51   230:08   026:54
11:13:52   230:26   027:00
11:13:53   230:45   027:07
11:13:54   231:04   027:13
11:13:55   231:23   027:19
11:13:56   231:42   027:25
11:13:57   232:01   027:32
11:13:58   232:21   027:38
11:13:59   232:40   027:44
11:14:00   233:00   027:50
11:14:01   233:20   027:56
11:14:02   233:40   028:02
11:14:03   234:00   028:08
11:14:04   234:20   028:14
11:14:05   234:40   028:20
11:14:06   235:01   028:26
11:14:07   235:21   028:31
11:14:08   235:42   028:37
11:14:09   236:03   028:43
11:14:10   236:24   028:49
11:14:11   236:45   028:54
11:14:12   237:06   029:00
11:14:13   237:28   029:05
11:14:14   237:49   029:11
11:14:15   238:11   029:16
11:14:16   238:32   029:22
11:14:17   238:54   029:27
11:14:18   239:16   029:32
11:14:19   239:38   029:38
11:14:20   240:00   029:43
11:14:21   240:23   029:48
11:14:22   240:45   029:53
11:14:23   241:08   029:58
11:14:24   241:30   030:03
11:14:25   241:53   030:08
11:14:26   242:16   030:12
11:14:27   242:39   030:17
11:14:28   243:02   030:22
11:14:29   243:25   030:26
11:14:30   243:49   030:31
11:14:31   244:12   030:35
11:14:32   244:36   030:40
11:14:33   244:59   030:44
11:14:34   245:23   030:48
11:14:35   245:47   030:52
11:14:36   246:11   030:57
11:14:37   246:35   031:01
11:14:38   246:59   031:04
11:14:39   247:24   031:08
11:14:40   247:48   031:12
11:14:41   248:12   031:16
11:14:42   248:37   031:19
11:14:43   249:02   031:23
11:14:44   249:26   031:26
11:14:45   249:51   031:30
11:14:46   250:16   031:33
11:14:47   250:41   031:36
11:14:48   251:06   031:39
11:14:49   251:32   031:42
11:14:50   251:57   031:45
11:14:51   252:22   031:48
11:14:52   252:47   031:50
11:14:53   253:13   031:53
11:14:54   253:38   031:55
11:14:55   254:04   031:58
11:14:56   254:30   032:00
11:14:57   254:55   032:02
11:14:58   255:21   032:04
11:14:59   255:47   032:06
11:15:00   256:13   032:08
11:15:01   256:39   032:10
11:15:02   257:05   032:12
11:15:03   257:31   032:13
11:15:04   257:57   032:15
11:15:05   258:23   032:16
11:15:06   258:49   032:17
11:15:07   259:15   032:19
11:15:08   259:42   032:20
11:15:09   260:08   032:21
11:15:10   260:34   032:22
11:15:11   261:00   032:22
11:15:12   261:27   032:23
11:15:13   261:53   032:23
11:15:14   262:19   032:24
11:15:15   262:45   032:24
11:15:16   263:12   032:24
11:15:17   263:38   032:25
11:15:18   264:04   032:25
11:15:19   264:31   032:24
11:15:20   264:57   032:24
11:15:21   265:23   032:24
11:15:22   265:50   032:23
11:15:23   266:16   032:23
11:15:24   266:42   032:22
11:15:25   267:09   032:22
