Link2Space track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 55.397	55.397	130
Satellite: FENGYUN 3C
Start date & time: 2022-03-07   05:59:27 UTC
Orbit: 43745
Time(UTC)		Azimuth(d)	Elevation(d) X(m)		Y(m)

05:59:27   358:11   010:00
05:59:28   358:04   010:04
05:59:29   357:57   010:08
05:59:30   357:50   010:13
05:59:31   357:43   010:17
05:59:32   357:37   010:22
05:59:33   357:30   010:26
05:59:34   357:23   010:31
05:59:35   357:16   010:35
05:59:36   357:09   010:40
05:59:37   357:02   010:44
05:59:38   356:55   010:49
05:59:39   356:47   010:53
05:59:40   356:40   010:58
05:59:41   356:33   011:02
05:59:42   356:26   011:07
05:59:43   356:18   011:11
05:59:44   356:11   011:16
05:59:45   356:04   011:20
05:59:46   355:56   011:25
05:59:47   355:49   011:30
05:59:48   355:41   011:34
05:59:49   355:34   011:39
05:59:50   355:26   011:43
05:59:51   355:18   011:48
05:59:52   355:11   011:53
05:59:53   355:03   011:57
05:59:54   354:55   012:02
05:59:55   354:47   012:06
05:59:56   354:39   012:11
05:59:57   354:31   012:16
05:59:58   354:23   012:20
05:59:59   354:15   012:25
06:00:00   354:07   012:30
06:00:01   353:59   012:34
06:00:02   353:51   012:39
06:00:03   353:43   012:44
06:00:04   353:35   012:49
06:00:05   353:26   012:53
06:00:06   353:18   012:58
06:00:07   353:10   013:03
06:00:08   353:01   013:08
06:00:09   352:53   013:12
06:00:10   352:44   013:17
06:00:11   352:36   013:22
06:00:12   352:27   013:27
06:00:13   352:18   013:31
06:00:14   352:09   013:36
06:00:15   352:01   013:41
06:00:16   351:52   013:46
06:00:17   351:43   013:51
06:00:18   351:34   013:55
06:00:19   351:25   014:00
06:00:20   351:16   014:05
06:00:21   351:07   014:10
06:00:22   350:57   014:15
06:00:23   350:48   014:19
06:00:24   350:39   014:24
06:00:25   350:30   014:29
06:00:26   350:20   014:34
06:00:27   350:11   014:39
06:00:28   350:01   014:44
06:00:29   349:52   014:49
06:00:30   349:42   014:53
06:00:31   349:32   014:58
06:00:32   349:23   015:03
06:00:33   349:13   015:08
06:00:34   349:03   015:13
06:00:35   348:53   015:18
06:00:36   348:43   015:23
06:00:37   348:33   015:28
06:00:38   348:23   015:33
06:00:39   348:13   015:38
06:00:40   348:03   015:43
06:00:41   347:52   015:47
06:00:42   347:42   015:52
06:00:43   347:32   015:57
06:00:44   347:21   016:02
06:00:45   347:11   016:07
06:00:46   347:00   016:12
06:00:47   346:49   016:17
06:00:48   346:39   016:22
06:00:49   346:28   016:27
06:00:50   346:17   016:32
06:00:51   346:06   016:37
06:00:52   345:55   016:42
06:00:53   345:44   016:47
06:00:54   345:33   016:52
06:00:55   345:22   016:57
06:00:56   345:11   017:02
06:00:57   344:59   017:07
06:00:58   344:48   017:11
06:00:59   344:36   017:16
06:01:00   344:25   017:21
06:01:01   344:13   017:26
