Link2Space track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 55.397	55.397	130
Satellite: METEOR-M2 2
Start date & time: 2022-03-08   10:48:32 UTC
Orbit: 13903
Time(UTC)		Azimuth(d)	Elevation(d) X(m)		Y(m)

10:48:32   186:56   014:59
10:48:33   187:01   015:06
10:48:34   187:06   015:13
10:48:35   187:11   015:19
10:48:36   187:16   015:26
10:48:37   187:21   015:33
10:48:38   187:27   015:39
10:48:39   187:32   015:46
10:48:40   187:37   015:53
10:48:41   187:42   016:00
10:48:42   187:48   016:06
10:48:43   187:53   016:13
10:48:44   187:59   016:20
10:48:45   188:04   016:27
10:48:46   188:10   016:34
10:48:47   188:15   016:41
10:48:48   188:21   016:48
10:48:49   188:27   016:55
10:48:50   188:32   017:02
10:48:51   188:38   017:10
10:48:52   188:44   017:17
10:48:53   188:50   017:24
10:48:54   188:56   017:31
10:48:55   189:02   017:38
10:48:56   189:08   017:46
10:48:57   189:14   017:53
10:48:58   189:20   018:01
10:48:59   189:26   018:08
10:49:00   189:32   018:15
10:49:01   189:38   018:23
10:49:02   189:45   018:30
10:49:03   189:51   018:38
10:49:04   189:58   018:46
10:49:05   190:04   018:53
10:49:06   190:11   019:01
10:49:07   190:17   019:09
10:49:08   190:24   019:16
10:49:09   190:31   019:24
10:49:10   190:37   019:32
10:49:11   190:44   019:40
10:49:12   190:51   019:48
10:49:13   190:58   019:56
10:49:14   191:05   020:04
10:49:15   191:12   020:12
10:49:16   191:19   020:20
10:49:17   191:26   020:28
10:49:18   191:34   020:36
10:49:19   191:41   020:45
10:49:20   191:48   020:53
10:49:21   191:56   021:01
10:49:22   192:03   021:09
10:49:23   192:11   021:18
10:49:24   192:19   021:26
10:49:25   192:27   021:35
10:49:26   192:34   021:43
10:49:27   192:42   021:52
10:49:28   192:50   022:00
10:49:29   192:58   022:09
10:49:30   193:06   022:18
10:49:31   193:15   022:26
10:49:32   193:23   022:35
10:49:33   193:31   022:44
10:49:34   193:40   022:53
10:49:35   193:48   023:02
10:49:36   193:57   023:11
10:49:37   194:06   023:20
10:49:38   194:14   023:29
10:49:39   194:23   023:38
10:49:40   194:32   023:47
10:49:41   194:41   023:56
10:49:42   194:51   024:06
10:49:43   195:00   024:15
10:49:44   195:09   024:24
10:49:45   195:19   024:34
10:49:46   195:28   024:43
10:49:47   195:38   024:53
10:49:48   195:47   025:02
10:49:49   195:57   025:12
10:49:50   196:07   025:22
10:49:51   196:17   025:31
10:49:52   196:27   025:41
10:49:53   196:38   025:51
10:49:54   196:48   026:01
10:49:55   196:58   026:11
10:49:56   197:09   026:20
10:49:57   197:20   026:30
10:49:58   197:31   026:41
10:49:59   197:41   026:51
10:50:00   197:52   027:01
10:50:01   198:04   027:11
10:50:02   198:15   027:21
10:50:03   198:26   027:32
10:50:04   198:38   027:42
10:50:05   198:50   027:52
10:50:06   199:01   028:03
10:50:07   199:13   028:13
10:50:08   199:25   028:24
10:50:09   199:38   028:34
10:50:10   199:50   028:45
10:50:11   200:02   028:56
10:50:12   200:15   029:07
10:50:13   200:28   029:17
10:50:14   200:41   029:28
10:50:15   200:54   029:39
10:50:16   201:07   029:50
10:50:17   201:20   030:01
10:50:18   201:34   030:12
10:50:19   201:47   030:23
10:50:20   202:01   030:35
10:50:21   202:15   030:46
10:50:22   202:29   030:57
10:50:23   202:44   031:08
10:50:24   202:58   031:20
10:50:25   203:13   031:31
10:50:26   203:28   031:43
10:50:27   203:43   031:54
10:50:28   203:58   032:06
10:50:29   204:13   032:17
10:50:30   204:29   032:29
10:50:31   204:45   032:40
10:50:32   205:01   032:52
10:50:33   205:17   033:04
10:50:34   205:33   033:16
10:50:35   205:50   033:28
10:50:36   206:07   033:39
10:50:37   206:24   033:51
10:50:38   206:41   034:03
10:50:39   206:58   034:15
10:50:40   207:16   034:27
10:50:41   207:34   034:39
10:50:42   207:52   034:52
10:50:43   208:10   035:04
10:50:44   208:29   035:16
10:50:45   208:47   035:28
10:50:46   209:06   035:40
10:50:47   209:26   035:52
10:50:48   209:45   036:05
10:50:49   210:05   036:17
10:50:50   210:25   036:29
10:50:51   210:45   036:42
10:50:52   211:05   036:54
10:50:53   211:26   037:06
10:50:54   211:47   037:19
10:50:55   212:09   037:31
10:50:56   212:30   037:43
10:50:57   212:52   037:56
10:50:58   213:14   038:08
10:50:59   213:37   038:21
10:51:00   213:59   038:33
10:51:01   214:22   038:46
10:51:02   214:46   038:58
10:51:03   215:09   039:10
10:51:04   215:33   039:23
10:51:05   215:57   039:35
10:51:06   216:22   039:47
10:51:07   216:47   040:00
10:51:08   217:12   040:12
10:51:09   217:37   040:24
10:51:10   218:03   040:37
10:51:11   218:29   040:49
10:51:12   218:56   041:01
10:51:13   219:23   041:13
10:51:14   219:50   041:25
10:51:15   220:17   041:37
10:51:16   220:45   041:49
10:51:17   221:13   042:01
10:51:18   221:42   042:13
10:51:19   222:11   042:25
10:51:20   222:40   042:37
10:51:21   223:10   042:49
10:51:22   223:40   043:00
10:51:23   224:10   043:12
10:51:24   224:41   043:23
